date,keyword,rank,clicks,impressions,ctr
2024-10-14,marketing analytics,33,78,1567,0.04977664326738992
2024-10-14,ai for business,20,50,5276,0.009476876421531463
2024-10-14,customer segmentation,2,57,18114,0.003146737330241802
2024-10-14,sales forecasting,6,14,12305,0.0011377488825680617
2024-10-15,marketing analytics,42,83,7300,0.01136986301369863
2024-10-15,ai for business,46,35,9455,0.0037017451084082496
2024-10-15,customer segmentation,21,20,11601,0.0017239893112662701
2024-10-15,sales forecasting,46,49,8333,0.005880235209408376
2024-10-16,marketing analytics,19,52,3118,0.01667735728030789
2024-10-16,ai for business,48,29,14802,0.0019591947034184568
2024-10-16,customer segmentation,9,62,4872,0.012725779967159278
2024-10-16,sales forecasting,10,10,18209,0.0005491789774287441
2024-10-17,marketing analytics,39,11,7004,0.0015705311250713877
2024-10-17,ai for business,5,54,16958,0.0031843377756810946
2024-10-17,customer segmentation,16,37,4668,0.007926306769494431
2024-10-17,sales forecasting,24,40,17232,0.002321262766945218
2024-10-18,marketing analytics,26,55,6778,0.008114488049572145
2024-10-18,ai for business,45,65,9359,0.006945186451543969
2024-10-18,customer segmentation,22,69,12901,0.005348422602899
2024-10-18,sales forecasting,45,56,4719,0.01186692095783005
2024-10-19,marketing analytics,34,99,14181,0.00698117199069177
2024-10-19,ai for business,11,87,7083,0.01228293096145701
2024-10-19,customer segmentation,18,50,18200,0.0027472527472527475
2024-10-19,sales forecasting,6,61,12421,0.00491103775863457
2024-10-20,marketing analytics,29,42,7354,0.005711177590426979
2024-10-20,ai for business,5,97,11987,0.008092099774755985
2024-10-20,customer segmentation,4,76,1169,0.06501283147989735
2024-10-20,sales forecasting,26,44,4451,0.009885419006964727
2024-10-21,marketing analytics,42,88,2304,0.03819444444444445
2024-10-21,ai for business,27,52,13926,0.003734022691368663
2024-10-21,customer segmentation,40,46,15051,0.003056275330542821
2024-10-21,sales forecasting,2,29,8181,0.003544798924336878
2024-10-22,marketing analytics,23,57,2596,0.021956856702619414
2024-10-22,ai for business,20,88,15303,0.005750506436646409
2024-10-22,customer segmentation,36,15,2159,0.006947660954145438
2024-10-22,sales forecasting,30,42,4893,0.008583690987124463
2024-10-23,marketing analytics,44,97,11712,0.008282103825136613
2024-10-23,ai for business,22,44,2244,0.0196078431372549
2024-10-23,customer segmentation,15,12,14628,0.0008203445447087777
2024-10-23,sales forecasting,20,86,5270,0.01631878557874763
2024-10-24,marketing analytics,3,87,9297,0.00935785737334624
2024-10-24,ai for business,26,98,14897,0.00657850573941062
2024-10-24,customer segmentation,20,6,8515,0.0007046388725778039
2024-10-24,sales forecasting,43,50,7461,0.006701514542286556
2024-10-25,marketing analytics,24,60,13777,0.004355084561225231
2024-10-25,ai for business,4,19,16164,0.0011754516208859194
2024-10-25,customer segmentation,31,74,13961,0.005300479908316023
2024-10-25,sales forecasting,31,51,4648,0.010972461273666093
2024-10-26,marketing analytics,45,64,17051,0.003753445545715794
2024-10-26,ai for business,32,89,15938,0.005584138536830217
2024-10-26,customer segmentation,3,51,13525,0.0037707948243992607
